galname,free_nopsf,free_psf,fixed_nopsf,fixed_psf
VFID1277-NGC4026,0.0,0.0,0.0,0.0
VFID1281-UGC06074,0.0,0.0,0.0,1.0
VFID1293-NGC5480,0.0,0.0,0.0,0.0
VFID1304-NGC4088,0.0,0.0,0.0,0.0
VFID1308-NGC4157,0.0,0.0,0.0,0.0
VFID1309-SBS1653+505,0.0,0.0,0.0,0.0
VFID1312-UGC08880,0.0,1.0,0.0,0.0
VFID1314-UGC04505,0.0,0.0,0.0,0.0
VFID1315-CGCG273-003,0.0,0.0,0.0,0.0
VFID1318-NGC4085,0.0,0.0,0.0,0.0
VFID1319-NGC5520,0.0,0.0,0.0,0.0
VFID1320-CGCG269-056,0.0,0.0,0.0,1.0
VFID1338-NGC2639,0.0,0.0,0.0,0.0
VFID1340-NGC3870,0.0,0.0,0.0,0.0
VFID1352-IC0902,0.0,0.0,0.0,0.0
VFID1353-NGC5673,0.0,0.0,0.0,0.0
VFID1354-NGC6283,0.0,0.0,0.0,0.0
VFID1357-IC1029,0.0,0.0,0.0,0.0
VFID1368-UGC06029,0.0,0.0,0.0,1.0
VFID1372-NGC5660,0.0,0.0,0.0,0.0
VFID1376-NGC4100,0.0,0.0,0.0,0.0
VFID1383-SBS0849+496,0.0,0.0,0.0,1.0
VFID1384-NGC5676,0.0,0.0,0.0,0.0
VFID1398-UGC06930,0.0,0.0,0.0,0.0
VFID1400-IC1291,0.0,0.0,0.0,0.0
VFID1401-NGC2856,0.0,0.0,0.0,0.0
VFID1402-UGC05049,0.0,1.0,0.0,0.0
VFID1404-NGC2854,0.0,0.0,0.0,0.0
VFID1407-NGC5448,0.0,1.0,0.0,1.0
VFID1408-NGC2684,0.0,0.0,0.0,0.0
VFID1416-UGC09056,0.0,0.0,0.0,0.0
VFID1424-SBS1445+491,0.0,0.0,0.0,1.0
VFID1432-NGC5689,0.0,0.0,0.0,0.0
VFID1433-NGC3893,0.0,0.0,0.0,0.0
VFID1436-NGC3928,0.0,0.0,0.0,0.0
VFID1440-NGC5682,0.0,0.0,0.0,0.0
VFID1449-NGC5693,0.0,0.0,0.0,0.0
VFID1453-NGC5700,0.0,0.0,0.0,0.0
VFID1459-NGC5425,0.0,0.0,0.0,0.0
VFID1461-NGC3906,0.0,0.0,0.0,0.0
VFID1465-NGC6155,0.0,0.0,0.0,0.0
VFID1471-NGC3985,0.0,0.0,0.0,0.0
VFID1474-UGC09665,0.0,0.0,0.0,0.0
VFID1475-NGC3583,0.0,0.0,0.0,0.0
VFID1488-NGC4218,0.0,0.0,0.0,0.0
VFID1500-NGC3769,0.0,1.0,0.0,0.0
VFID1502-NGC4220,0.0,0.0,0.0,0.0
VFID1507-NGC3949,0.0,0.0,0.0,0.0
VFID1520-NGC3811,0.0,0.0,0.0,0.0
VFID1533-NGC3877,0.0,0.0,0.0,0.0
VFID1534-NGC4096,0.0,0.0,0.0,0.0
