RA,DEC,radius,env_flag
151.378467,70.3644428,33.12235641479492,1.0
251.59164,70.3587684,36.90806198120117,3.0
186.10368300000002,70.3342222,34.444602966308594,1.0
255.10935,70.290901,36.40166473388672,1.0
275.7223425,70.2253535,12.277819633483887,1.0
157.60279200000002,70.0515889,92.7088623046875,1.0
239.9878755,69.9960833,11.043869018554688,1.0
126.37185,69.899696,26.06881332397461,1.0
253.238235,69.882202,25.82981300354004,1.0
176.123958,69.7297778,21.533828735351562,1.0
160.36000049999998,69.7061111,25.183799743652344,1.0
170.529897,69.6336709,59.036590576171875,1.0
103.8786255,69.5629722,63.55083465576172,1.0
182.129217,69.5448873,47.11088562011719,1.0
272.037708,69.5023333,9.730188369750977,1.0
135.951666,69.4871667,19.63908576965332,1.0
257.019447,69.464317,90.80738830566406,1.0
171.044667,69.4130833,43.66377258300781,1.0
146.31578100000002,69.3902517,46.67897033691406,1.0
176.7058335,69.3836389,61.111263275146484,3.0
124.1604,69.347,30.0,1.0
180.373458,69.3239167,43.36319351196289,1.0
149.794716,69.2579829,19.23628807067871,1.0
139.826811,69.2033065,97.07809448242188,3.0
154.97050199999998,69.1885825,30.0,1.0
176.91858000000002,69.1040866,39.54770278930664,3.0
203.274417,68.8603333,11.484742164611816,1.0
159.37044300000002,68.8194989,52.495399475097656,1.0
182.134791,68.7676111,66.24014282226562,3.0
146.554182,68.7153262,30.0,1.0
182.5162365,68.6948427,3.7163896560668945,3.0
141.2987505,68.3831944,25.534141540527344,3.0
109.5178335,68.3426944,30.0,1.0
244.15470450000004,68.2025725,27.486614227294922,1.0
275.48500049999996,68.1287778,32.14558029174805,1.0
194.0666505,68.1128873,12.592769622802734,1.0
207.06951750000002,68.0849644,71.9649887084961,1.0
163.1712495,67.9888889,50.13271713256836,1.0
277.6658745,67.9870278,56.3795051574707,1.0
108.9741135,67.9838295,50.36412048339844,1.0
176.1626415,67.9558478,21.238372802734375,1.0
182.962833,67.9286385,26.73752784729004,1.0
205.273875,67.6721389,35.819644927978516,1.0
202.0788375,67.631641,30.557741165161133,1.0
266.06179199999997,67.6194444,32.44301986694336,3.0
181.6186545,67.4907164,11.197504997253418,3.0
186.070971,67.4400042,19.147905349731445,1.0
256.3014165,67.4199722,11.725226402282715,1.0
141.6526275,67.4112907,45.348541259765625,1.0
181.94847000000001,67.3837847,19.593915939331055,3.0
266.623341,67.3381693,27.486614227294922,3.0
245.46023250000002,67.2930768,31.558856964111328,1.0
235.4496,67.253799,43.5633430480957,1.0
181.45697850000002,67.2520606,38.381439208984375,3.0
180.345534,67.2453981,9.059855461120605,1.0
